"REGIONE";"COLLEGIO";"PROVINCIA";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"FAI DELLA PAGANELLA";"692";;"568";"291";"15";"LA SINISTRA L'ARCOBALENO";"43"
"TRENTINO ALTO ADIGE";"BRESSANONE";"BOLZANO";"SAN MARTINO IN BADIA";"1136";;"978";"507";"48";"LA SINISTRA L'ARCOBALENO";"6"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"FAVER";"575";;"503";"256";"13";"LA SINISTRA L'ARCOBALENO";"12"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SAN MARTINO IN PASSIRIA";"2008";;"1714";"891";"54";"LA SINISTRA L'ARCOBALENO";"18"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SAN PANCRAZIO";"1106";;"962";"473";"48";"LA SINISTRA L'ARCOBALENO";"13"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"FIAVE'";"740";;"613";"311";"25";"LA SINISTRA L'ARCOBALENO";"40"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SARENTINO";"4676";;"4168";"2107";"149";"LA SINISTRA L'ARCOBALENO";"59"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"FIERA DI PRIMIERO";"410";;"343";"156";"8";"LA SINISTRA L'ARCOBALENO";"27"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SCENA";"1910";;"1642";"839";"88";"LA SINISTRA L'ARCOBALENO";"42"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"FIEROZZO";"342";;"287";"154";"9";"LA SINISTRA L'ARCOBALENO";"1"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"FLAVON";"370";;"307";"157";"11";"LA SINISTRA L'ARCOBALENO";"12"
"TRENTINO ALTO ADIGE";"BRESSANONE";"BOLZANO";"SELVA DEI MOLINI";"980";;"860";"474";"57";"LA SINISTRA L'ARCOBALENO";"6"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"FOLGARIA";"2383";;"1958";"968";"35";"LA SINISTRA L'ARCOBALENO";"119"
"TRENTINO ALTO ADIGE";"BRESSANONE";"BOLZANO";"SELVA DI VAL GARDENA";"1750";;"1510";"758";"56";"LA SINISTRA L'ARCOBALENO";"28"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"FONDO";"990";;"775";"377";"37";"LA SINISTRA L'ARCOBALENO";"40"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SENALES";"941";;"836";"434";"33";"LA SINISTRA L'ARCOBALENO";"10"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"FORNACE";"776";;"667";"348";"18";"LA SINISTRA L'ARCOBALENO";"34"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SENALE-SAN FELICE";"513";;"461";"240";"25";"LA SINISTRA L'ARCOBALENO";"10"
"TRENTINO ALTO ADIGE";"BRESSANONE";"BOLZANO";"SESTO";"1334";;"1102";"529";"28";"LA SINISTRA L'ARCOBALENO";"18"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"FRASSILONGO";"263";;"195";"102";"10";"LA SINISTRA L'ARCOBALENO";"6"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SILANDRO";"3864";;"3306";"1588";"137";"LA SINISTRA L'ARCOBALENO";"192"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"GARNIGA TERME";"278";;"238";"116";"5";"LA SINISTRA L'ARCOBALENO";"24"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"SLUDERNO";"1244";;"1010";"506";"43";"LA SINISTRA L'ARCOBALENO";"36"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"GIOVO";"1714";;"1485";"752";"35";"LA SINISTRA L'ARCOBALENO";"90"
"TRENTINO ALTO ADIGE";"MERANO";"BOLZANO";"STELVIO";"847";;"674";"341";"30";"LA SINISTRA L'ARCOBALENO";"18"
