"REGIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"CAMPANIA";"ITALIA AGLI ITALIANI";11432,00;0,00
"CAMPANIA";"PARTITO COMUNISTA";5480,00;0,00
"CAMPANIA";"PARTITO VALORE UMANO";3046,00;0,00
"CAMPANIA";"PER UNA SINISTRA RIVOLUZIONARIA";3378,00;0,00
"CAMPANIA";"PARTITO REPUBBLICANO ITALIANO - ALA";4205,00;0,00
"PUGLIA";"LEGA";130548,00;1,00
"PUGLIA";"FORZA ITALIA";385450,00;3,00
"PUGLIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";75251,00;0,00
"PUGLIA";"NOI CON L'ITALIA - UDC";59665,00;0,00
"PUGLIA";"MOVIMENTO 5 STELLE";873237,00;6,00
"PUGLIA";"PARTITO DEMOCRATICO";281639,00;2,00
"PUGLIA";"+EUROPA";22567,00;0,00
"PUGLIA";"ITALIA EUROPA INSIEME";12269,00;0,00
"PUGLIA";"CIVICA POPOLARE LORENZIN";11269,00;0,00
"PUGLIA";"LIBERI E UGUALI";60269,00;0,00
"PUGLIA";"POTERE AL POPOLO!";18404,00;0,00
"PUGLIA";"CASAPOUND ITALIA";13601,00;0,00
"PUGLIA";"IL POPOLO DELLA FAMIGLIA";12094,00;0,00
"PUGLIA";"ITALIA AGLI ITALIANI";11753,00;0,00
"PUGLIA";"PARTITO COMUNISTA";7585,00;0,00
"PUGLIA";"PARTITO REPUBBLICANO ITALIANO - ALA";2269,00;0,00
"PUGLIA";"LISTA DEL POPOLO PER LA COSTITUZIONE";1741,00;0,00
"BASILICATA";"LEGA";20591,00;1,00
"BASILICATA";"FORZA ITALIA";36226,00;1,00
"BASILICATA";"FRATELLI D'ITALIA CON GIORGIA MELONI";10628,00;0,00
"BASILICATA";"NOI CON L'ITALIA - UDC";7083,00;0,00
"BASILICATA";"MOVIMENTO 5 STELLE";123118,00;3,00
"BASILICATA";"PARTITO DEMOCRATICO";49462,00;1,00
"BASILICATA";"+EUROPA";3931,00;0,00
"BASILICATA";"ITALIA EUROPA INSIEME";3648,00;0,00
"BASILICATA";"CIVICA POPOLARE LORENZIN";4162,00;0,00
"BASILICATA";"LIBERI E UGUALI";16305,00;0,00
"BASILICATA";"POTERE AL POPOLO!";3554,00;0,00
"BASILICATA";"CASAPOUND ITALIA";1674,00;0,00
"BASILICATA";"IL POPOLO DELLA FAMIGLIA";1831,00;0,00
"BASILICATA";"PARTITO COMUNISTA";1520,00;0,00
"BASILICATA";"LISTA DEL POPOLO PER LA COSTITUZIONE";1192,00;0,00
"BASILICATA";"SMS - STATO MODERNO SOLIDALE";1384,00;0,00
"CALABRIA";"LEGA";49797,00;1,00
"CALABRIA";"FORZA ITALIA";181849,00;1,00
"CALABRIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";34863,00;0,00
"CALABRIA";"NOI CON L'ITALIA - UDC";13197,00;0,00
"CALABRIA";"MOVIMENTO 5 STELLE";369365,00;3,00
"CALABRIA";"PARTITO DEMOCRATICO";123206,00;1,00
"CALABRIA";"+EUROPA";6870,00;0,00
"CALABRIA";"ITALIA EUROPA INSIEME";5438,00;0,00
"CALABRIA";"CIVICA POPOLARE LORENZIN";4298,00;0,00
"CALABRIA";"LIBERI E UGUALI";23101,00;0,00
"CALABRIA";"POTERE AL POPOLO!";8692,00;0,00
"CALABRIA";"CASAPOUND ITALIA";5872,00;0,00
"CALABRIA";"IL POPOLO DELLA FAMIGLIA";5187,00;0,00
"CALABRIA";"ITALIA AGLI ITALIANI";4103,00;0,00
"CALABRIA";"PARTITO COMUNISTA";4612,00;0,00
"CALABRIA";"PARTITO VALORE UMANO";2922,00;0,00
"CALABRIA";"PER UNA SINISTRA RIVOLUZIONARIA";1371,00;0,00
"CALABRIA";"LISTA DEL POPOLO PER LA COSTITUZIONE";1272,00;0,00
